#,Folio,Programa,Tipo,Área,Carrera,Coordinador que inscribe,Curso de Inducción,Empresa,Domicilio
1,146162,ACTIVIDADES SUSTANTIVAS EN LAS DIFERENTES ÁREAS DE MUSEOS PUEBLA,Serv Social,OPD MUSEOS PUEBLA,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,MUSEOS PUEBLA OPD,"AVENIDA REFORMA1503 Col: CENTRO HISTÓRICO CP: 72000
Puebla,Puebla
(222)2465858 Ext: 109
(0)0 Ext: 000000000
PP.SERVICIOSOCIAL@GMAIL.COM"
,,,,,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,MUSEOS PUEBLA OPD,"AVENIDA REFORMA1503 Col: CENTRO HISTÓRICO CP: 72000
Puebla,Puebla
(222)2465858 Ext: 109
(0)0 Ext: 000000000
PP.SERVICIOSOCIAL@GMAIL.COM"
,,,,,,,,,
2,146164,WEB MANAGMENT,Serv Social,VIRTUAL,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,AGRUPACION SCOUT MEXICANA A.C.,"16 DE SEPTIEMBRE503 ALTOS Col: CENTRO CP: 72000
Puebla,Puebla
(222)7431265 Ext:
(222)4016514 Ext:
GERAMART@AGSMEX.ORG.MX"
,,,,,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,AGRUPACION SCOUT MEXICANA A.C.,"16 DE SEPTIEMBRE503 ALTOS Col: CENTRO CP: 72000
Puebla,Puebla
(222)7431265 Ext:
(222)4016514 Ext:
GERAMART@AGSMEX.ORG.MX"
,,,,,,,,,
3,146192,"DISEÑO DE UN SOFTWARE PARA EL CONTEO CELULAR, ACOPLADO A MICROSCOPIA ESTEREOSCOPICA",Serv Social,CENTRO DE INVESTIGACIONES EN CIENCIAS MICROBIOLÓGICAS,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,INSTITUTO DE CIENCIAS,"EDIFICIO 103-J, CENTRO DE INVESTIGACIONES MICROBIOLÓGICAS-ICUAP. CIUDAD UNIVERSITARIA S/N COL: San Manuel CP: 72570
Puebla , Puebla
(222) 2295500 EXT 2545
(222) 2295500 EXT
jart70@yahoo.com"
4,146204,PROGRAMACIÓN DE LA PLATAFORMA DE LA RED DE EDUCADORES AMBIENTALES PARA EL DESARROLLO SUSTENTABLE DE PUEBLA,Serv Social,RED DE EDUCADORES AMBIENTALES PARA EL DESARROLLO SUSTENTABLE,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,VENTANA AMBIENTAL DESARROLLO SUSTENTABLE A.C.,"LIBERTAD1556 Col: GRANJAS MAYORAZGO CP: 72480
Puebla,Puebla
(222)3991928 Ext:
() Ext:
ventanaambiental@gmail.com"
5,146207,GESTIÓN PARA EL DESARROLLO DEL REACONDICIONAMIENTO DEL EDIFICIO ADM2 Y ADM6,Serv Social,FACULTAD DE ADMINISTRACIÓN,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE ADMINISTRACION,"AVENIDA SAN CLAUDIO S/N EDIFICIO ADM1/133 COL: CIUDAD UNIVERSITARIA, JARDINES DE SAN MAUEL CP: 72570
Puebla , Puebla
(222) 2295500 EXT 7747
(222) 2295500 EXT 7750
uziel.vega@correo.buap.mx"
,,,,,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE ADMINISTRACION,"AVENIDA SAN CLAUDIO S/N EDIFICIO ADM1/133 COL: CIUDAD UNIVERSITARIA, JARDINES DE SAN MAUEL CP: 72570
Puebla , Puebla
(222) 2295500 EXT 7747
(222) 2295500 EXT 7750
uziel.vega@correo.buap.mx"
